site_id,ncount,nmean,nstd,nmin,nmax,n05,n25,nmedian,n75,n95,nrange,datetime_min,datetime_max,years_sampled,samples_per_year_mean,nztmx,nztmy,type,depth,mk_trend,mk_p,f_p1,f_p2,frac_1,mrt1,age_min,age_max,age_mean,age_std,age_median,age_dist,age_depth,keep,dont_keep,LS_keep,Paired well,COMMENT
m36_5255,28,2.514285714,0.70011337,1.3,3.8,1.635,1.875,2.5,3,3.63,2.5,23/10/1997 12:00,2/11/2022 10:10,25.04109589,1.118161926,1558097.88,5170216.317,well,24,1,5.48E-08,0.5303125,,,,16.92857143,1079.095238,459.1952381,860.2406943,281.8630952,500,5,FALSE,TRUE,TRUE,,Age looks wrong for elevated nitrate and shallow depth.
m36_5790,11,6.645454545,2.12478876,3.4,10,3.8,5.65,6.1,8.05,9.7,6.6,20/11/2002 8:00,2/11/2011 12:15,8.956164384,1.228204344,1559800.989,5174455.866,well,18,1,0.006597085,0.497136364,,,,161.9375,172.140625,166.6848958,8.873292257,166.7578125,500,5,FALSE,TRUE,FALSE,,Old monitoring. No replacement. Prebbleton
m36_5918,1,3.9,,3.9,3.9,3.9,3.9,3.9,3.9,3.9,0,19/10/2017 12:45,19/10/2017 12:45,0,inf,1553166.576,5171720.45,well,40,,,0.49375,,,,31.3,49.44285714,39.39880952,15.57130445,38.65,500,5,FALSE,TRUE,FALSE,,Investigation. Only 1 sample.
m36_7568,3,0.002333333,0.001527525,0.001,0.004,0.0011,0.0015,0.002,0.003,0.0038,0.003,10/11/2020 9:10,21/10/2022 12:40,1.945205479,1.542253521,1565439,5157724,well,54,,,0.5,,,,42,68.9375,54.76041667,18.31713192,54,500,5,FALSE,TRUE,FALSE,m36_1504,Replaced m36_1504 Merge time series. But both wells still excluded due to low nitrate Motukarara
m36_7734,48,5.304166667,1.029141004,2.4,7.6,4.035,4.55,5.3,5.95,6.995,5.2,6/07/2005 11:15,14/10/2022 14:45,17.28493151,2.776985259,1545139.104,5162651.936,well,30,1,8.89E-11,0.575308642,1,1,1.5,27.06862745,1791.823529,615.544281,1641.794491,248.6421569,500,5,FALSE,TRUE,TRUE,m36_2617,Replaced m36_2617 Merge time series. Age looks wrong for high nitrate. No other reason to exclude. Outliers look like continuation of the same trend.
m36_8187,41,8.412195122,1.817717679,6.1,13.5,6.6,6.9,8,9.5,11.7,7.4,16/01/2006 11:30,1/11/2022 14:05,16.80273973,2.440078265,1544679.442,5172402.618,well,48,1,2.13E-10,0.488125,,,,26.82380952,44.23809524,35.36031746,14.55407441,35.22142857,500,5,TRUE,FALSE,TRUE,m36_4151,Replaced m36_4151 Merge time series.
m37_0005,5,0.262,0.052153619,0.2,0.3,0.202,0.21,0.3,0.3,0.3,0.1,10/11/1986 13:30,8/10/1991 13:10,4.909589041,1.018415179,1548802.873,5144522.892,well,14.9,0,1,0.524272727,,,,202,214.08,207.6053333,11.3945334,207.42,500,5,FALSE,TRUE,FALSE,,Low nitrate near lake. Old water or anoxic or both. 
m37_0065,21,3.20952381,1.6385679,1.4,5.6,1.7,1.8,2.3,5.2,5.5,4.2,10/11/1986 0:00,18/11/2008 12:15,22.03835616,0.952884137,1545298.872,5146557.646,well,18.3,1,2.50E-05,0.497136364,,,,131.0322581,141.5645161,135.9327957,8.873292257,136.0080645,500,5,FALSE,TRUE,FALSE,,Old monitoring. No replacement.
m37_0130,38,1.116315789,0.375883975,0.1,1.9,0.7,0.8625,1,1.4,1.809,1.8,10/02/1995 9:40,25/10/2022 12:35,27.72328767,1.370688803,1542548.471,5142158.833,well,46.5,0,0.533750766,0.511666667,,,,24.3173913,40.7826087,32.37608696,13.75343986,32.2673913,500,5,FALSE,TRUE,FALSE,,Low nitrate near coast. Old water or anoxic or both. Salmon hatchery
m37_0242,42,1.246904762,0.455896266,0.23,2.2,0.8,0.935,1.1,1.4875,2.195,1.97,10/02/1995 10:00,25/10/2022 12:20,27.72328767,1.514971835,1542387.547,5142029.854,well,19.6,0,0.230617487,0.501423077,,,,109.5789474,120.2763158,114.6074561,9.417666964,114.625,500,5,FALSE,TRUE,FALSE,,Low nitrate near coast. Old water or anoxic or both. Salmon hatchery
m37_0287,26,0.065230769,0.033289407,0.005,0.12,0.025,0.03,0.075,0.09,0.109,0.115,2/05/2003 11:10,4/04/2023 13:30,19.9369863,1.304108836,1563403.951,5146369.081,well,62,-1,0.003009701,0.45875,,,,30.82352941,45.29411765,37.54803922,9.833278347,37.17647059,500,5,FALSE,TRUE,FALSE,,Low nitrate near coast. Old water or anoxic or both. Salmon hatchery
m37_0463,22,1.504545455,0.153862254,1.31,1.88,1.341,1.375,1.49,1.595,1.8115,0.57,26/03/2013 12:00,28/03/2023 11:17,10.00821918,2.198193266,1546049.983,5143774.773,well,84,1,0.000335027,0.610714286,,,,114.9666667,143.7333333,128.6583333,21.07542124,127.3333333,500,5,FALSE,TRUE,FALSE,,Low nitrate near coast. Old water or anoxic or both. Salmon hatchery
m37_0499,15,7.446666667,0.981155781,6,9.2,6.07,6.8,7.3,8.15,8.78,3.2,9/11/2009 12:30,20/10/2022 14:00,12.95342466,1.157994924,1544710.197,5145705.872,well,18,1,0.031321118,0.497136364,,,,161.9375,172.140625,166.6848958,8.873292257,166.7578125,500,5,FALSE,TRUE,TRUE,,Age looks wrong for high nitrate. No other reason to exclude. 
sq30267,35,0.098457143,0.045652358,0.025,0.21,0.0439,0.0625,0.09,0.1285,0.176,0.185,27/07/1983 12:20,16/06/2023 11:25,39.91232877,0.876922021,1523114,5198780,stream,0,1,0.00452351,0.605,1,1,3,10.57142857,18.28571429,14.42857143,6.363961031,14.42857143,500,10,FALSE,TRUE,FALSE,,Upper Waimakariri River at gorge South bank
sq30526,39,0.003525641,0.006873814,0,0.037,0,0.00025,0.0005,0.004,0.0153,0.037,16/02/1989 0:00,4/08/2023 12:40,34.48493151,1.130928736,1500170,5231636,stream,0,0,0.184397587,0.605,1,1,3,10.57142857,18.28571429,14.42857143,6.363961031,14.42857143,500,10,FALSE,TRUE,FALSE,,
sq30782,382,0.157469895,0.220295035,0.001,2.9,0.008,0.036,0.0905,0.21,0.5,2.899,15/10/1986 12:20,22/06/2023 11:44,36.70684932,10.40677713,1574438,5155128,stream,0,-1,1.06E-10,0.605,1,1,3,10.57142857,18.28571429,14.42857143,6.363961031,14.42857143,500,10,FALSE,TRUE,FALSE,,
sq30878,369,3.362059621,0.503397788,0.97,4.8,2.7,3,3.3,3.7,4.2,3.83,13/09/1994 13:34,22/06/2023 14:35,28.79178082,12.81615758,1555716,5161859,stream,0,1,0.005720286,0.605,1,1,3,10.57142857,18.28571429,14.42857143,6.363961031,14.42857143,500,10,TRUE,FALSE,TRUE,,
sq30916,859,3.958131548,1.716408939,0.005,8.6,1.2,2.8,4.1,5.2,6.7,8.595,11/08/1986 10:55,22/06/2023 12:53,36.88767123,23.28691325,1552654,5161709,stream,0,1,0,0.605,1,1,3,10.57142857,18.28571429,14.42857143,6.363961031,14.42857143,500,10,TRUE,FALSE,TRUE,,
sq30928,594,0.325314815,0.240397184,0.01,2.6,0.11755,0.19,0.255,0.39,0.744,2.59,15/05/1991 14:00,15/06/2023 12:21,32.10410959,18.50230415,1510446,5187359,stream,0,1,3.38E-10,0.605,1,1,3,10.57142857,18.28571429,14.42857143,6.363961031,14.42857143,500,10,FALSE,TRUE,FALSE,,
sq30945,151,0.642629139,0.714613897,0.001,3.1,0.0055,0.059,0.34,1.075,2.15,3.099,4/09/2006 11:10,15/06/2023 11:31,16.7890411,8.993962141,1517935,5190385,stream,0,0,0.959076734,0.605,1,1,3,10.57142857,18.28571429,14.42857143,6.363961031,14.42857143,500,10,FALSE,TRUE,FALSE,,upper catchment
sq30953,375,0.130193333,0.255054318,0,1.55,0.0005,0.003,0.02,0.12,0.724,1.55,25/02/1988 14:00,14/06/2023 11:00,35.32054795,10.61704933,1551391,5150721,stream,0,-1,1.23E-08,0.605,1,1,3,10.57142857,18.28571429,14.42857143,6.363961031,14.42857143,500,10,FALSE,TRUE,FALSE,,within lake
sq30954,377,0.068397878,0.208069747,0,2.6,0.0005,0.0025,0.01,0.034,0.394,2.6,22/04/1987 11:20,14/06/2023 9:18,36.16712329,10.42383153,1556397,5151944,stream,0,-1,0,0.605,1,1,3,10.57142857,18.28571429,14.42857143,6.363961031,14.42857143,500,10,FALSE,TRUE,FALSE,,within lake
sq30955,367,0.264638965,0.529200628,0.0005,4.3,0.0005,0.005,0.029,0.265,1.4,4.2995,22/04/1987 10:50,14/06/2023 11:49,36.16986301,10.1465687,1554459,5155719,stream,0,-1,1.02E-09,0.605,1,1,3,10.57142857,18.28571429,14.42857143,6.363961031,14.42857143,500,10,FALSE,TRUE,FALSE,,within lake
sq30956,370,0.09525,0.200690118,0.0005,1.3,0.0005,0.0025,0.013,0.06075,0.5355,1.2995,22/04/1987 11:40,14/06/2023 10:34,36.16712329,10.23028558,1550578,5145424,stream,0,-1,2.22E-16,0.605,1,1,3,10.57142857,18.28571429,14.42857143,6.363961031,14.42857143,500,10,FALSE,TRUE,FALSE,,within lake
sq30976,158,5.209386076,2.026701266,0.14,10,1.0625,4.3,5.3,6.3,8.645,9.86,10/04/2003 9:50,22/06/2023 11:57,20.21369863,7.816481431,1548313,5153967,stream,0,-1,0.028683688,0.605,1,1,3,10.57142857,18.28571429,14.42857143,6.363961031,14.42857143,500,10,TRUE,FALSE,TRUE,,
sq30977,273,3.249529304,2.272673366,0.001,11,0.061,1.2,3.3,4.7,6.84,10.999,18/08/1992 12:15,22/06/2023 11:30,30.86027397,8.846324574,1547960,5153366,stream,0,-1,0.01013834,0.605,1,1,3,10.57142857,18.28571429,14.42857143,6.363961031,14.42857143,500,10,TRUE,FALSE,TRUE,,
sq30992,359,5.73091922,1.539486598,1.7,8.9,3.8,4.3,5.5,7.15,8.1,7.2,13/09/1994 12:24,22/06/2023 10:56,28.7890411,12.47002284,1546793,5150435,stream,0,1,0,0.605,1,1,3,10.57142857,18.28571429,14.42857143,6.363961031,14.42857143,500,10,TRUE,FALSE,TRUE,,
sq31013,2,0.085,0.026870058,0.066,0.104,0.0679,0.0755,0.085,0.0945,0.1021,0.038,11/07/2023 13:09,17/08/2023 13:24,0.101369863,19.72972973,1535716,5139799,stream,0,,,0.605,1,1,3,10.57142857,18.28571429,14.42857143,6.363961031,14.42857143,500,10,FALSE,TRUE,FALSE,,Too few samples
sq31018,180,0.06275,0.037115684,0.003,0.29,0.0179,0.038,0.057,0.08,0.12305,0.287,16/06/1983 11:35,15/06/2023 15:38,40.02465753,4.497227736,1522951,5156592,stream,0,1,0.004855131,0.605,1,1,3,10.57142857,18.28571429,14.42857143,6.363961031,14.42857143,500,10,FALSE,TRUE,FALSE,,
sq31020,212,0.059966981,0.029135919,0.0025,0.2,0.02055,0.043,0.0575,0.074,0.1188,0.1975,16/07/2001 11:10,15/06/2023 14:36,21.92876712,9.667666167,1491506,5180781,stream,0,1,0.000341032,0.605,1,1,3,10.57142857,18.28571429,14.42857143,6.363961031,14.42857143,500,10,FALSE,TRUE,FALSE,,
sq31040,1,0.221,,0.221,0.221,0.221,0.221,0.221,0.221,0.221,0,3/03/1988 12:40,3/03/1988 12:40,0,inf,1539314,5140299,stream,0,,,0.605,1,1,3,10.57142857,18.28571429,14.42857143,6.363961031,14.42857143,500,10,FALSE,TRUE,FALSE,,Too few samples
sq32872,366,3.021830601,0.608872467,1.3,4.6,2.025,2.6,3,3.5,4,3.3,14/09/1992 11:25,22/06/2023 14:12,30.7890411,11.8873465,1561843,5163081,stream,0,-1,6.42E-14,0.605,1,1,3,10.57142857,18.28571429,14.42857143,6.363961031,14.42857143,500,10,TRUE,FALSE,TRUE,,
sq33468,59,7.215254237,0.994781827,5.2,8.9,5.6,6.45,7.2,8.15,8.6,3.7,30/11/2012 11:33,21/07/2023 12:44,10.64383562,5.543114543,1552142,5161895,stream,0,0,0.84711287,0.605,1,1,3,10.57142857,18.28571429,14.42857143,6.363961031,14.42857143,500,10,FALSE,TRUE,TRUE,,Silverstream u/s Selwyn River. Spring-fed river with high nitrate of interest to community
sq33593,173,0.085589595,0.170359203,0.0005,1.24,0.0005,0.001,0.005,0.094,0.432,1.2395,9/02/2009 12:00,14/06/2023 12:59,14.35068493,12.05517373,1572937,5150829,stream,0,-1,9.55E-07,0.605,1,1,3,10.57142857,18.28571429,14.42857143,6.363961031,14.42857143,500,10,FALSE,TRUE,FALSE,,
sq34538,166,3.213855422,0.845444594,1.7,5.1,2.025,2.5,3.15,3.8,4.7,3.4,4/09/2002 11:55,22/06/2023 9:07,20.80821918,7.977616853,1542233,5143921,stream,0,1,1.72E-07,0.605,1,1,3,10.57142857,18.28571429,14.42857143,6.363961031,14.42857143,500,10,TRUE,FALSE,TRUE,,
sq34540,169,4.654615385,1.705149065,1.39,8.6,2.1,3.4,4.5,5.7,7.6,7.21,4/09/2002 12:35,22/06/2023 10:13,20.80821918,8.121790652,1548263,5144174,stream,0,1,6.37E-13,0.605,1,1,3,10.57142857,18.28571429,14.42857143,6.363961031,14.42857143,500,10,TRUE,FALSE,TRUE,,
sq34548,246,1.568455285,0.485616011,0.02,3.6,0.8675,1.2,1.5,1.9,2.3,3.58,28/11/2002 11:05,22/06/2023 9:33,20.57534247,11.95605859,1543945,5142420,stream,0,1,0.001204027,0.605,1,1,3,10.57142857,18.28571429,14.42857143,6.363961031,14.42857143,500,10,FALSE,TRUE,FALSE,,Coopers Lagoon Muriwai
sq34580,165,2.284363636,0.668400248,0.8,4.7,1.158,1.8,2.3,2.6,3.38,3.9,21/07/2003 11:25,15/06/2023 10:58,19.91232877,8.28632361,1521793,5192713,stream,0,0,0.295400724,0.605,1,1,3,10.57142857,18.28571429,14.42857143,6.363961031,14.42857143,500,10,FALSE,TRUE,FALSE,,upper catchment
sq35573,67,0.785014925,0.348606989,0.096,2.2,0.426,0.58,0.73,0.84,1.384,2.104,11/11/2008 10:40,17/08/2023 11:38,14.77260274,4.535422849,1538155,5140342,stream,0,1,0.002110601,0.605,1,1,3,10.57142857,18.28571429,14.42857143,6.363961031,14.42857143,500,10,FALSE,TRUE,FALSE,,
sq35575,67,0.958059701,0.315543009,0.39,2.2,0.479,0.8,0.92,1.1,1.57,1.81,11/11/2008 12:30,17/08/2023 11:02,14.76986301,4.536264144,1538676,5140418,stream,0,0,0.052909227,0.605,1,1,3,10.57142857,18.28571429,14.42857143,6.363961031,14.42857143,500,10,FALSE,TRUE,FALSE,,
sq35586,64,1.78,0.940823685,0.56,5.7,0.94,1.2775,1.55,2,3.785,5.14,17/02/2009 10:10,17/08/2023 12:51,14.50410959,4.412542501,1536845,5139395,stream,0,0,0.229011486,0.605,1,1,3,10.57142857,18.28571429,14.42857143,6.363961031,14.42857143,500,10,FALSE,TRUE,TRUE,,Mathius stream lower catchment drains into Rakaia mouth
sq36009,29,0.052517241,0.011627003,0.038,0.078,0.0394,0.042,0.051,0.06,0.0716,0.04,21/02/2014 11:30,11/05/2023 11:40,9.221917808,3.144682115,1463691,5208854,stream,0,0,0.752655967,0.605,1,1,3,10.57142857,18.28571429,14.42857143,6.363961031,14.42857143,500,10,FALSE,TRUE,FALSE,,
sq36010,38,0.211578947,0.070135248,0.001,0.42,0.142,0.1775,0.1975,0.2475,0.3145,0.419,16/12/2013 12:30,1/12/2020 13:30,6.964383562,5.456333596,1504502,5220742,stream,0,0,0.158094913,0.605,1,1,3,10.57142857,18.28571429,14.42857143,6.363961031,14.42857143,500,10,FALSE,TRUE,FALSE,,
sq36027,26,0.046115385,0.018751697,0.026,0.111,0.0285,0.034,0.039,0.05775,0.06925,0.085,21/02/2014 13:00,27/03/2023 12:15,9.095890411,2.858433735,1467168,5207235,stream,0,0,0.964973945,0.605,1,1,3,10.57142857,18.28571429,14.42857143,6.363961031,14.42857143,500,10,FALSE,TRUE,FALSE,,
sq36312,24,0.001604167,0.002440506,0.0005,0.01,0.0005,0.0005,0.0005,0.001,0.0067,0.0095,6/09/2018 13:50,4/08/2023 10:10,4.909589041,4.888392857,1500713,5226984,stream,0,0,0.840703243,0.605,1,1,3,10.57142857,18.28571429,14.42857143,6.363961031,14.42857143,500,10,FALSE,TRUE,FALSE,,
sq36313,23,0.001130435,0.001625209,0.0005,0.007,0.0005,0.0005,0.0005,0.0005,0.0047,0.0065,6/09/2018 15:45,11/08/2020 14:15,1.928767123,11.92471591,1494631,5204909,stream,0,0,0.387176433,0.605,1,1,3,10.57142857,18.28571429,14.42857143,6.363961031,14.42857143,500,10,FALSE,TRUE,FALSE,,
sq36334,24,0.001854167,0.002534455,0.0005,0.009,0.0005,0.0005,0.0005,0.00225,0.007,0.0085,6/09/2018 11:10,4/08/2023 12:45,4.912328767,4.885666481,1500346,5231401,stream,0,0,0.481922929,0.605,1,1,3,10.57142857,18.28571429,14.42857143,6.363961031,14.42857143,500,10,FALSE,TRUE,FALSE,,
sq36335,24,0.001375,0.001974016,0.0005,0.007,0.0005,0.0005,0.0005,0.001,0.0067,0.0065,6/09/2018 13:45,4/08/2023 9:58,4.909589041,4.888392857,1500713,5226984,stream,0,0,0.943041559,0.605,1,1,3,10.57142857,18.28571429,14.42857143,6.363961031,14.42857143,500,10,FALSE,TRUE,FALSE,,
sq36336,23,0.001152174,0.002013786,0.0005,0.008,0.0005,0.0005,0.0005,0.0005,0.0064,0.0075,6/09/2018 15:40,11/08/2020 14:30,1.928767123,11.92471591,1494631,5204909,stream,0,0,0.745269675,0.605,1,1,3,10.57142857,18.28571429,14.42857143,6.363961031,14.42857143,500,10,FALSE,TRUE,FALSE,,
sq36479,2,0.0135,0.007778175,0.008,0.019,0.00855,0.01075,0.0135,0.01625,0.01845,0.011,1/12/2020 12:00,9/04/2021 13:00,0.353424658,5.658914729,1502972,5233291,stream,0,,,0.605,1,1,3,10.57142857,18.28571429,14.42857143,6.363961031,14.42857143,500,10,FALSE,TRUE,FALSE,,Too few samples
sq36480,2,0.0065,0.004949747,0.003,0.01,0.00335,0.00475,0.0065,0.00825,0.00965,0.007,1/12/2020 11:00,9/04/2021 12:00,0.353424658,5.658914729,1504830,5230841,stream,0,,,0.605,1,1,3,10.57142857,18.28571429,14.42857143,6.363961031,14.42857143,500,10,FALSE,TRUE,FALSE,,Too few samples
sq36486,4,0.0995,0.077762459,0.032,0.21,0.03665,0.05525,0.078,0.12225,0.19245,0.178,15/12/2020 14:00,11/05/2023 11:50,2.4,1.666666667,1464275,5208256,stream,0,,,0.605,1,1,3,10.57142857,18.28571429,14.42857143,6.363961031,14.42857143,500,10,FALSE,TRUE,FALSE,,Too few samples
sq36487,5,0.0898,0.063061082,0.048,0.2,0.049,0.053,0.065,0.083,0.1766,0.152,15/12/2020 14:30,11/05/2023 11:30,2.4,2.083333333,1462730,5208971,stream,0,0,1,0.605,1,1,3,10.57142857,18.28571429,14.42857143,6.363961031,14.42857143,500,10,FALSE,TRUE,FALSE,,Too few samples
sq36575,1,1.02,,1.02,1.02,1.02,1.02,1.02,1.02,1.02,0,30/08/2023 10:54,30/08/2023 10:54,0,inf,1549496,5150335,stream,0,,,0.605,1,1,3,10.57142857,18.28571429,14.42857143,6.363961031,14.42857143,500,10,FALSE,TRUE,FALSE,,Too few samples
